Team,Region
Porco Pio Power,Gman
Skyriders CBB,Gman
One Niners FTW!!!,Gman
Ready Lizard One,Gman
"Please Sir, no more",Gman
The Stinky Boyes,Gman
Jogo Bonito BB Club,Gman
Happy Woodland Critters,Gman
Ringitõmbajad,Gman
Subtle Gitz ,Gman
Khans HooOooWlers,Gman
Pastry Pests,REL
Ratz Off To Ya,REL
AnimalFarm,REL
Necronomics,REL
S.T.E.V.E.,REL
Eat-Eat Man-Things!!,REL
Howl_at_the_Moon,REL
Gloom & Zoom,REL
Live Tree or Die Hard,REL
New Year Norse,REL
Brazzerz,REL
Tadpoles in the Big City,REL
The Three Mountains,REL
Skinky Island Boiz,REL
Men in Tights,REL
Treat Kune Do,REL
The Booze Cruise,REL
Leafy Mustard,REL
Not FDA Approved,REL
cheesetactics mk.II,REL
Not An Anime Sports Team ,REL
Ace Trucking Co.,REL
Iron Madden,REL
Communist Frat Party,REL
  Lords of Decay,REL
Straight Up Flatulence,REL
Plzdont murder me,REL
Oil Miners,REL
Cenobite the Curb,REL
Lebowski Urban Acheivers,REL
The TeamSpeak Crew V4,REL
The Necromantic Newbies,REL
Felwithe's Koada'Dal,REL
Midsummer Nightmares,REL
"You're a lizard, 'Arry!",REL
Pro-in a Party,REL
Pantheon Passers,REL
Tribu Urbana,REL
The Revenge of the Franks,REL
Tooth And Fist,REL
Scooby and the Gang,REL
Murderers Row,REL
REL Gerbear admin squad,REL
Scholarly Gentlemen,REL
Da Secret of My Success,REL
Nurgle's FTDs,REL
Drakwald Daylaborers,REL
Thick Rich and Creamy,REL
Big Green Weenies,REL
Culinary Delights v2,REL
Cowboy Dorfs,REL
The Grody Greens,REL
things dwarves hate,REL
REBBL Rage Quit,REL
Le Gland Bleu,REL
"Eat, Prey, Shove",REL
Murica Gerbear admin squa,REL
poor admin squad mk7,REL
The Ruff and Tumble Gang,REL
Cogs of War IV,REL
 Nightmare on Elf Street,REL
It'sAlwaysShadyinSylvania,REL
Khorne's Glory,REL
Cantakerous Cretaceans,REL
High Fivers,REL
Fear_And_Bloating,REL
Ogrenized Crime,REL
Rebellious Scions,REL
Flyboys,REL
These Violent Delights,REL
Lizaztecas,REL
Silly Gerbear Admin squad,REL
poor admin squad MK8,REL
Space Bye Week,REL
LizardBeasts,REL
YOU Worship Chaos,REL
Ars Goatia,REL
Fogmire Fenbeasts,REL
Rottingham Rockers,REL
Mutants In Human Clothing,REL
Maximum Ogrekill,REL
The Farm Animals,REL
Raskin Bobbins,REL
Ulthuan Sea Serpents,REL
Gamba's Gals,REL
Loser Gerbear admin squad,REL
Poor Admin Squad MK9,REL
Furry Bye Week,REL
Weak Bye,REL
Bye Bye Blacksheep,REL
Hufflepuff Heroes,REL
Star-Struck,REL
BioWare for Life,REL
Flinging Fun,REL
The Wayside Wondermongers,REL
Jazz Poison,REL
Royal Rumble Boys,REL
Nuffle Knows Wonk Elf Fun,REL
Khamun Konsulting,REL
Doom Anvils,REL
Grungy Desserts,REL
Murderland Plague Flies,REL
Less Sucky Blood Suckerz,REL
Film Flayers,REL
Skink Gerbear admin squad,REL
Poor Admin Squad MK10,REL
Green Bye Week,REL
Reasonably Greedy,REL
Cold Blooded Exes,REL
Rotting Snatchs,REL
The Norse Unleashed,REL
Battle Brothers,REL
Orxploitation Cinema,REL
Great Cold Ones [REBBL],REL
Mainland Creepers,REL
O Comrade Where Art Thou?,REL
The Flippant Dead,REL
The Mesozoic Mighty Men,REL
Slots Gerbear Admin Squad,REL
poor admin squad MK12,REL
High Bye Week,REL
Sugar 'n Spite,REL
Late To The Party,REL
The Rotterhood,REL
The Elements Of Style,REL
Werewolf of Wall Street,REL
Hausdorff's Homewreckers,REL
Bounce Castle Enthusiasts,REL
Click Click Splat,REL
Mean Green Boyz,REL
Tanarakh Tyrants,REL
GADS Gobstoppers,REL
The Punanimals,REL
RAGE DORF,REL
The Lonely Shiners,REL
ARRG Gerbear Admin Squad,REL
MysteryScienceGoats3k,REL
Nerves,REL
Wood United,REL
The Fat Earthers,REL
Crawdad Zydeco Experience,REL
Economy of Scale,REL
Dorfs of Duncan,REL
The Rock and Sock'ems,REL
Mamals Of Unuasual Size,REL
"All Orc, No Play",REL
Dauntless Unicorns,REL
Red Runt Rage,REL
ACCEPT gerbear admin squa,REL
poor admin squad MK13,REL
Fat Bye Week,REL
Union United,REL
Yhetee to Conquer,REL
The AverageRice Joe's ,REL
Armor Furnace,REL
Cheeky Elves,REL
Here goes Nothing!,REL
Redeemed Dark Elves,REL
Las Vegas Lizard Gizzards,REL
Buff'Git Bills,REL
Foul Targets,REL
Filler Gerbear Admin Squa,REL
poor admin squad MK14,REL
Royal Bye Week,REL
Bom Bay Week,REL
GoodBye,REL
Arkangell's Will,REL
BloodStane,REL
The Chew Toyz,REL
Da Snot Knockaz,REL
One Cheese,REL
Irish Monks,REL
C.R.Boyz Giant Stags,REL
Komodo Killas,REL
The Gods of Metal,REL
Friendship is Massacre,REL
Naggarond NutPunchers,REL
Broken Boyz,REL
Ticket Gerbear admin squa,REL
poor admin squad MK15,REL
Foody Bye Week,REL
Bye Bye Baby Week,REL
Dead Wrestler's Society,REL
Fallen Wonders,REL
Mount the Tetons,REL
Rouge's Gallery,REL
"Frozen, Dead North",REL
Castlevania Creeps,REL
ThunderStrike,REL
The Bad QB Squad,REL
Siberian Hopscotch Mafia,REL
Respectable Gents,REL
MAX 40 Gerbear Admin squa,REL
poor admin squad MK11,REL
